Timestamp,CPU_%,CPU_Temp,RAM_%,RAM_Used,RAM_Total,Disk_%,Disk_Used,Disk_Total,Net_KB_s,LAN_Speed,WiFi_Speed,GPU_%,GPU_Temp,GPU_Mem_Used,GPU_Mem_Total,Alerts
2025-12-07 00:39:22,23,57.85,64.36,15.33,23.82,92.55,414.07,447.39,7.77,10 Gbps,400 Mbps,13,44,0.72,4,CRITICAL: Low Disk Space on C: (97.56% Used)
2025-12-07 00:39:31,24,61.85,64.86,15.45,23.82,92.55,414.07,447.39,7.15,10 Gbps,400 Mbps,1,44,0.74,4,CRITICAL: Low Disk Space on C: (97.56% Used)
2025-12-07 00:39:36,37,57.85,64.99,15.48,23.82,92.55,414.07,447.39,35.9,10 Gbps,400 Mbps,16,44,0.73,4,CRITICAL: Low Disk Space on C: (97.56% Used)
2025-12-07 00:39:41,26,61.85,65.03,15.49,23.82,92.55,414.08,447.39,1.47,10 Gbps,400 Mbps,7,45,0.76,4,CRITICAL: Low Disk Space on C: (97.56% Used)
2025-12-07 00:39:45,6,62.85,65.32,15.56,23.82,92.55,414.08,447.39,3.05,10 Gbps,400 Mbps,12,45,0.73,4,CRITICAL: Low Disk Space on C: (97.56% Used)
2025-12-07 00:39:50,7,65.85,65.83,15.68,23.82,92.55,414.08,447.39,1.21,10 Gbps,400 Mbps,21,45,0.73,4,CRITICAL: Low Disk Space on C: (97.56% Used)
2025-12-07 00:39:55,19,60.85,65.87,15.69,23.82,92.55,414.08,447.39,9.33,10 Gbps,400 Mbps,3,45,0.74,4,CRITICAL: Low Disk Space on C: (97.56% Used)
2025-12-07 00:39:59,4,59.85,65.16,15.52,23.82,92.55,414.08,447.39,2.3,10 Gbps,400 Mbps,10,45,0.73,4,CRITICAL: Low Disk Space on C: (97.56% Used)
2025-12-07 00:40:04,12,59.85,64.95,15.47,23.82,92.55,414.08,447.39,3.13,10 Gbps,400 Mbps,0,45,0.75,4,CRITICAL: Low Disk Space on C: (97.56% Used)
2025-12-07 00:40:08,3,60.85,64.9,15.46,23.82,92.55,414.08,447.39,24.51,10 Gbps,400 Mbps,0,45,0.74,4,CRITICAL: Low Disk Space on C: (97.56% Used)
2025-12-07 00:40:13,8,61.85,64.74,15.42,23.82,92.55,414.08,447.39,6.67,10 Gbps,400 Mbps,0,44,0.74,4,CRITICAL: Low Disk Space on C: (97.56% Used)
